session_id,player_id,timestamp,duration_mins,damage_dealt,xp_gained
S_0103,P_008,2026-08-09 12:00:00,37.5,4339.933269954525,620.0
S_0104,P_003,2026-08-09 14:00:00,162.8,5196.110865929137,1197.0
S_0105,P_001,2026-08-09 16:00:00,113.1,7161.909933599173,956.0
S_0106,P_003,2026-08-09 18:00:00,11.6,2846.206773230841,696.0
S_0107,P_005,2026-08-09 20:00:00,27.3,6744.745628232439,687.0
S_0108,P_015,2026-08-09 22:00:00,122.8,5015.349591529381,1231.0
S_0109,P_014,2026-08-10 00:00:00,10.9,,376.0
S_0110,P_003,2026-08-10 02:00:00,37.3,5693.1552113949065,1330.0
S_0111,P_001,2026-08-10 04:00:00,103.3,5298.589543360205,949.0
S_0112,P_005,2026-08-10 06:00:00,127.6,4099.674684261808,1021.0
S_0113,P_014,2026-08-10 08:00:00,120.8,5104.703127485029,567.0
S_0114,P_007,2026-08-10 10:00:00,48.1,4422.02960470736,810.0
S_0115,P_009,2026-08-10 12:00:00,131.1,5170.276017876872,1269.0
S_0116,P_015,2026-08-10 14:00:00,50.3,5993.19601178157,1070.0
S_0117,P_015,2026-08-10 16:00:00,65.3,7379.025224218029,1435.0
S_0118,P_010,2026-08-10 18:00:00,136.9,3143.2767517597267,642.0
S_0119,P_013,2026-08-10 20:00:00,120.4,8199.5500619844,1379.0
S_0120,P_019,2026-08-10 22:00:00,154.4,2071.868300716247,402.0
