No,Name,Type1,Type2,Height,Weight,Legendary,BMI,Height_Category
113,Chansey,Normal,,1.1,34.6,0,28.595041322314046,Short
114,Tangela,Grass,,1.0,35.0,0,35.0,Short
115,Kangaskhan,Normal,,2.2,80.0,0,16.52892561983471,Tall
116,Horsea,Water,,0.4,8.0,0,49.99999999999999,Short
117,Seadra,Water,,1.2,25.0,0,17.36111111111111,Short
118,Goldeen,Water,,0.6,15.0,0,41.66666666666667,Short
119,Seaking,Water,,1.3,39.0,0,23.076923076923073,Short
120,Staryu,Water,,0.8,34.5,0,53.90624999999999,Short
121,Starmie,Water,Psychic,1.1,80.0,0,66.11570247933884,Short
122,Mr. Mime,Psychic,Fairy,1.3,54.5,0,32.24852071005917,Short
123,Scyther,Bug,Flying,1.5,56.0,0,24.88888888888889,Tall
124,Jynx,Ice,Psychic,1.4,40.6,0,20.71428571428572,Short
125,Electabuzz,Electric,,1.1,30.0,0,24.793388429752063,Short
126,Magmar,Fire,,1.3,44.5,0,26.33136094674556,Short
127,Pinsir,Bug,,1.5,55.0,0,24.444444444444443,Tall
128,Tauros,Normal,,1.4,88.4,0,45.10204081632654,Short
129,Magikarp,Water,,0.9,10.0,0,12.345679012345679,Short
130,Gyarados,Water,Flying,6.5,235.0,0,5.562130177514793,Tall
131,Lapras,Water,Ice,2.5,220.0,0,35.2,Tall
132,Ditto,Normal,,0.3,4.0,0,44.44444444444444,Short
133,Eevee,Normal,,0.3,6.5,0,72.22222222222223,Short
134,Vaporeon,Water,,1.0,29.0,0,29.0,Short
135,Jolteon,Electric,,0.8,24.5,0,38.28124999999999,Short
136,Flareon,Fire,,0.9,25.0,0,30.864197530864196,Short
137,Porygon,Normal,,0.8,36.5,0,57.031249999999986,Short
138,Omanyte,Rock,Water,0.4,7.5,0,46.87499999999999,Short
139,Omastar,Rock,Water,1.0,35.0,0,35.0,Short
140,Kabuto,Rock,Water,0.5,11.5,0,46.0,Short
141,Kabutops,Rock,Water,1.3,40.5,0,23.964497041420117,Short
142,Aerodactyl,Rock,Flying,1.8,59.0,0,18.209876543209877,Tall
143,Snorlax,Normal,,2.1,460.0,0,104.30839002267574,Tall
144,Articuno,Ice,Flying,1.7,55.4,1,19.169550173010382,Tall
145,Zapdos,Electric,Flying,1.6,52.6,1,20.546874999999996,Tall
146,Moltres,Fire,Flying,2.0,60.0,1,15.0,Tall
147,Dratini,Dragon,,1.8,3.3,0,1.0185185185185184,Tall
148,Dragonair,Dragon,,4.0,16.5,0,1.03125,Tall
149,Dragonite,Dragon,Flying,2.2,210.0,0,43.38842975206611,Tall
150,Mewtwo,Psychic,,2.0,122.0,1,30.5,Tall
